,Country,type2,tpm
1,CN-CRC,C,0.013712911
2,CN-CRC,C,0
3,CN-CRC,C,0.002514618
4,CN-CRC,C,0.063364066
5,CN-CRC,C,0.066082325
6,CN-CRC,C,0.001183608
7,CN-CRC,C,0.004492841
8,CN-CRC,C,0.01264574
9,CN-CRC,C,0.001551647
10,CN-CRC,C,0.001281046
11,CN-CRC,C,0.03166054
12,CN-CRC,C,0
13,CN-CRC,C,0
14,CN-CRC,C,0.007585127
15,CN-CRC,C,0.038119217
16,CN-CRC,C,0
17,CN-CRC,C,0
18,CN-CRC,C,0.051316343
19,CN-CRC,C,0
20,CN-CRC,C,0.029344686
21,CN-CRC,C,0.012813809
22,CN-CRC,C,0
23,CN-CRC,C,0.02810291
24,CN-CRC,C,0
25,CN-CRC,C,0.081019933
26,CN-CRC,C,0
27,CN-CRC,C,0
28,CN-CRC,C,0
29,CN-CRC,C,0
30,CN-CRC,C,0.021506793
31,CN-CRC,C,0.010350955
32,CN-CRC,C,0.018535103
33,CN-CRC,C,0.021738435
34,CN-CRC,C,0.056340383
35,CN-CRC,C,0
36,CN-CRC,C,0
37,CN-CRC,C,0.017393827
38,CN-CRC,C,0.002425439
39,CN-CRC,C,0.013762024
40,CN-CRC,C,0.001706635
41,CN-CRC,C,0.017500017
42,CN-CRC,C,0.00172209
43,CN-CRC,C,0.134091814
44,CN-CRC,C,0.155829186
45,CN-CRC,C,0
46,CN-CRC,C,0.008638573
47,CN-CRC,C,0.016880945
48,CN-CRC,C,0.005139131
49,CN-CRC,C,0
50,CN-CRC,C,0.025125396
51,CN-CRC,C,0.017406389
52,CN-CRC,C,0.055789954
53,CN-CRC,C,0.013069307
54,CN-CRC,C,0
55,AU-C,C,0
56,AU-C,C,0
57,AU-C,C,0
58,AU-C,C,0.009497
59,AU-C,C,0.015881
60,AU-C,C,0.082813
61,AU-C,C,0.103671
62,AU-C,C,0.023564
63,AU-C,C,0.103861
64,AU-C,C,0.079352
65,AU-C,C,0.099935
66,AU-C,C,0.001121
67,AU-C,C,0.005714
68,AU-C,C,0.047265
69,AU-C,C,0.050739
70,AU-C,C,0.020852
71,AU-C,C,0.014982
72,AU-C,C,0.398744
73,AU-C,C,0.276057
74,AU-C,C,0.137967
75,AU-C,C,0.205034
76,AU-C,C,0.044292
77,AU-C,C,0.020731
78,AU-C,C,0.023449
79,AU-C,C,0.008979
80,CN-PHT,C,0
81,CN-PHT,C,0
82,CN-PHT,C,0
83,CN-PHT,C,0
84,CN-PHT,C,0.001317
85,CN-PHT,C,0.009675
86,CN-PHT,C,0.004226
87,CN-PHT,C,0.000449
88,CN-PHT,C,0.002003
89,CN-PHT,C,0.009147
90,CN-PHT,C,0.002926
91,CN-PHT,C,0.003606
92,CN-PHT,C,0
93,CN-PHT,C,0
94,CN-PHT,C,0.008988
95,CN-PHT,C,0.001469
96,CN-PHT,C,0.003074
97,CN-PHT,C,0.00521
98,CN-PHT,C,0.001555
99,CN-PHT,C,0.000643
100,CN-PHT,C,0
101,CN-PHT,C,0.003788
102,CN-PHT,C,0.006073
103,CN-PHT,C,0.004032
104,CN-PHT,C,0
105,CN-PHT,C,0.01053
106,CN-PHT,C,0.000272
107,CN-PHT,C,0.005058
108,CN-PHT,C,0.001076
109,CN-PHT,C,0.004644
110,CN-PHT,C,0.001604
111,CN-PHT,C,0.001822
112,CN-PHT,C,0
113,CN-PHT,C,0
114,CN-PHT,C,0.011247
115,CN-PHT,C,0.000783
116,CN-PHT,C,0.002399
117,CN-PHT,C,0.002061
118,CN-PHT,C,0.001146
119,CN-PHT,C,0
120,CN-PHT,C,0.00675
121,DE-CRC,C,0.005335
122,DE-CRC,C,0.002607
123,DE-CRC,C,0.026855
124,DE-CRC,C,0.004735
125,DE-CRC,C,0.002755
126,DE-CRC,C,0.007001
127,DE-CRC,C,0.002995
128,DE-CRC,C,0.004174
129,DE-CRC,C,0.00366
130,DE-CRC,C,0.005049
131,DE-CRC,C,0.004306
132,DE-CRC,C,0.024696
133,DE-CRC,C,0.005247
134,DE-CRC,C,0.010258
135,DE-CRC,C,0.007437
136,DE-CRC,C,0.006639
137,DE-CRC,C,0.001205
138,DE-CRC,C,0.012435
139,DE-CRC,C,0.013974
140,DE-CRC,C,0.007305
141,DE-CRC,C,0.015767
142,DE-CRC,C,0.014541
143,DE-CRC,C,0.001545
144,DE-CRC,C,0.003814
145,DE-CRC,C,0.019512
146,DE-CRC,C,0.003249
147,DE-CRC,C,0.011326
148,DE-CRC,C,0.001321
149,DE-CRC,C,0.007934
150,DE-CRC,C,0.011786
151,DE-CRC,C,0.003569
152,DE-CRC,C,0.004427
153,DE-CRC,C,0.006136
154,DE-CRC,C,0.00412
155,DE-CRC,C,0
156,DE-CRC,C,0.009679
157,DE-CRC,C,0.022293
158,DE-CRC,C,0.00785
159,DE-CRC,C,0.00479
160,DE-CRC,C,0.009599
161,DE-CRC,C,0.027393
162,DE-CRC,C,0.015896
163,DE-CRC,C,0.01016
164,DE-CRC,C,0.004297
165,DE-CRC,C,0.005496
166,DE-CRC,C,0.008117
167,DE-CRC,C,0.002549
168,DE-CRC,C,0.015909
169,DE-CRC,C,0.054193
170,DE-CRC,C,0.012925
171,DE-CRC,C,0
172,DE-CRC,C,0.008045
173,DE-CRC,C,0.023638
174,DE-CRC,C,0.003823
175,DE-CRC,C,0.014715
176,DE-CRC,C,0.111244
177,DE-CRC,C,0.009065
178,DE-CRC,C,0.018806
179,DE-CRC,C,0.022838
180,DE-CRC,C,0.018625
181,DE2-CRC,C,0.007779
182,DE2-CRC,C,0.007866
183,DE2-CRC,C,0.007965
184,DE2-CRC,C,0.008646
185,DE2-CRC,C,0.004611
186,DE2-CRC,C,0.007063
187,DE2-CRC,C,0
188,DE2-CRC,C,0
189,DE2-CRC,C,0
190,DE2-CRC,C,0
191,DE2-CRC,C,0
192,DE2-CRC,C,0
193,DE2-CRC,C,0.014455
194,DE2-CRC,C,0.013808
195,DE2-CRC,C,0.013276
196,DE2-CRC,C,0.017183
197,DE2-CRC,C,0.022858
198,DE2-CRC,C,0.039723
199,DE2-CRC,C,0.0162
200,DE2-CRC,C,0.022348
201,DE2-CRC,C,0.021602
202,DE2-CRC,C,0.031504
203,DE2-CRC,C,0.021301
204,DE2-CRC,C,0.041376
205,DE2-CRC,C,0.046156
206,DE2-CRC,C,0.042714
207,DE2-CRC,C,0.053308
208,DE2-CRC,C,0
209,DE2-CRC,C,0
210,DE2-CRC,C,0.00397
211,DE2-CRC,C,0.005986
212,DE2-CRC,C,0.003691
213,DE2-CRC,C,0.004211
214,FR-CRC,C,0
215,FR-CRC,C,0.008024
216,FR-CRC,C,0
217,FR-CRC,C,
218,FR-CRC,C,0.000878
219,FR-CRC,C,0
220,FR-CRC,C,0
221,FR-CRC,C,0
222,FR-CRC,C,0
223,FR-CRC,C,0
224,FR-CRC,C,0.005427
225,FR-CRC,C,0
226,FR-CRC,C,0.001345
227,FR-CRC,C,0
228,FR-CRC,C,0
229,FR-CRC,C,0
230,FR-CRC,C,0
231,FR-CRC,C,0
232,FR-CRC,C,0.009554
233,FR-CRC,C,0
234,FR-CRC,C,0.04838
235,FR-CRC,C,0
236,FR-CRC,C,0.001314
237,FR-CRC,C,0
238,FR-CRC,C,0
239,FR-CRC,C,0.006298
240,FR-CRC,C,0.010862
241,FR-CRC,C,0.004919
242,FR-CRC,C,0.004548
243,FR-CRC,C,0.035449
244,FR-CRC,C,0.007977
245,FR-CRC,C,0.008768
246,FR-CRC,C,0
247,FR-CRC,C,0.009564
248,FR-CRC,C,0
249,FR-CRC,C,0
250,FR-CRC,C,0
251,FR-CRC,C,0.018251
252,FR-CRC,C,0.003238
253,FR-CRC,C,0.001924
254,FR-CRC,C,0
255,FR-CRC,C,0
256,FR-CRC,C,0
257,FR-CRC,C,0.001655
258,FR-CRC,C,0
259,FR-CRC,C,0
260,FR-CRC,C,0.050109
261,FR-CRC,C,0
262,FR-CRC,C,0
263,FR-CRC,C,0.005385
264,FR-CRC,C,0
265,FR-CRC,C,0.008451
266,FR-CRC,C,0.002187
267,FR-CRC,C,0
268,FR-CRC,C,0
269,FR-CRC,C,0
270,FR-CRC,C,0
271,FR-CRC,C,0
272,FR-CRC,C,0
273,FR-CRC,C,0.006601
274,FR-CRC,C,0.001943
275,FR-CRC,C,0.006995
276,FR-CRC,C,0
277,FR-CRC,C,0.009542
278,FR-CRC,C,0.013973
279,FR-CRC,C,0
280,FR-CRC,C,0
281,FR-CRC,C,0
282,FR-CRC,C,0
283,FR-CRC,C,0
284,FR-CRC,C,0
285,FR-CRC,C,0
286,JP-C,C,0
287,JP-C,C,0
288,JP-C,C,0
289,JP-C,C,0
290,JP-C,C,0.071367
291,JP-C,C,0
292,JP-C,C,0
293,JP-C,C,0
294,JP-C,C,0.064843
295,JP-C,C,0
296,JP-C,C,0
297,JP-C,C,0
298,JP-C,C,0.005076
299,JP-C,C,0
300,JP-C,C,0
301,JP-C,C,0.073725
302,JP-C,C,0.113132
303,JP-C,C,0.178177
304,JP-C,C,0
305,JP-C,C,0
306,JP-C,C,0
307,JP-C,C,0
308,JP-C,C,0
309,JP-C,C,0
310,JP-C,C,0
311,JP-C,C,0
312,JP-C,C,0
313,JP-C,C,0
314,JP-C,C,0
315,JP-C,C,0
316,JP-C,C,0
317,JP-C,C,0
318,JP-C,C,0
319,JP-C,C,0
320,JP-C,C,0
321,JP-C,C,0
322,JP-C,C,0
323,JP-C,C,0
324,JP-C,C,0
325,JP-C,C,0.033083
326,JP-C,C,0
327,JP-C,C,0
328,JP-C,C,0
329,JP-C,C,0.051066
330,JP-C,C,0.039448
331,JP-C,C,0.011513
332,JP-C,C,0
333,JP-C,C,0.007007
334,JP-C,C,0
335,JP-C,C,0
336,JP-C,C,0.036652
337,JP-C,C,0
338,JP-C,C,0
339,JP-C,C,0
340,JP-C,C,0
341,JP-C,C,0.041574
342,JP-C,C,0
343,JP-C,C,0.027501
344,JP-C,C,0.014992
345,JP-C,C,0.032512
346,JP-C,C,0
347,JP-C,C,0
348,JP-C,C,0
349,JP-C,C,0
350,JP-C,C,0
351,JP-C,C,0
352,JP-C,C,0
353,JP-C,C,0.257402
354,JP-C,C,0
355,JP-C,C,0.050361
356,JP-C,C,0
357,JP-C,C,0
358,JP-C,C,0
359,JP-C,C,0.099391
360,JP-C,C,0.048888
361,JP-C,C,0.12607
362,JP-C,C,0.055936
363,JP-C,C,0.065146
364,JP-C,C,0
365,JP-C,C,0
366,JP-C,C,0
367,JP-C,C,0.074366
368,JP-C,C,0.121771
369,JP-C,C,0.130028
370,JP-C,C,0
371,JP-C,C,0
372,JP-C,C,0
373,JP-C,C,0
374,JP-C,C,0
375,JP-C,C,0
376,JP-C,C,0
377,JP-C,C,0
378,JP-C,C,0
379,JP-C,C,0
380,JP-C,C,0
381,JP-C,C,0
382,JP-C,C,0
383,JP-C,C,0.023486
384,JP-C,C,0
385,JP-C,C,0.080962
386,JP-C,C,0
387,JP-C,C,0
388,JP-C,C,0
389,JP-C,C,0
390,JP-C,C,0.062719
391,JP-C,C,0
392,JP-C,C,0
393,KP-C,C,0.008631
394,KP-C,C,0.017652
395,KP-C,C,0.03272
396,KP-C,C,0.134092
397,KP-C,C,0.157259
398,KP-C,C,0.002099
399,KP-C,C,0.019965
400,KP-C,C,0.018929
401,KP-C,C,0.006753
402,KP-C,C,0.008199
403,KP-C,C,0.022717
404,KP-C,C,0.014028
405,KP-C,C,0.066043
406,KP-C,C,0.025053
407,KP-C,C,0.029863
408,KP-C,C,0.113018
409,KP-C,C,0.008537
410,KP-C,C,0.008075
411,KP-C,C,0.028381
412,KP-C,C,0.030374
413,KP-C,C,0.045116
414,KP-C,C,0.007636
415,KP-C,C,0
416,KP-C,C,0.015223
417,KP-C,C,0.00649
418,KP-C,C,0.020424
419,KP-C,C,0.022831
420,KP-C,C,0.009945
421,KP-C,C,0.01125
422,KP-C,C,0.012268
423,KP-C,C,0.101247
424,KP-C,C,0.023444
425,KP-C,C,0.022584
426,KP-C,C,0.010974
427,KP-C,C,0.015651
428,PE-Obese,C,0.003248
429,PE-Obese,C,0
430,PE-Obese,C,0
431,PE-Obese,C,0
432,PE-Obese,C,0
433,PE-Obese,C,0
434,PE-Obese,C,0
435,PE-Obese,C,0
436,PE-Obese,C,0.015723
437,PE-Obese,C,0
438,PE-Obese,C,0
439,PE-Obese,C,0
440,PE-Obese,C,0
441,PE-Obese,C,0.005507
442,PE-Obese,C,0.006423
443,PE-Obese,C,0
444,PE-Obese,C,0.001939
445,PE-Obese,C,0.010662
446,PE-Obese,C,0.009437
447,PE-Obese,C,0.001895
448,PE-Obese,C,0.018785
449,PE-Obese,C,0
450,PE-Obese,C,0.009786
451,PE-Obese,C,0.002536
452,PE-Obese,C,0.00923
453,PE-Obese,C,0.017442
454,PE-Obese,C,0
455,PE-Obese,C,0
456,US-CRC,C,0.005987
457,US-CRC,C,0.001468
458,US-CRC,C,0.018888
459,US-CRC,C,0.00264
460,US-CRC,C,0.004902
461,US-CRC,C,0.002725
462,US-CRC,C,0.028832
463,US-CRC,C,0
464,US-CRC,C,0.019559
465,US-CRC,C,0.002498
466,US-CRC,C,0.006949
467,US-CRC,C,0.019056
468,US-CRC,C,0.012344
469,US-CRC,C,0.019591
470,US-CRC,C,0.069762
471,US-CRC,C,0.009635
472,US-CRC,C,0
473,US-CRC,C,0.001178
474,US-CRC,C,0.006552
475,US-CRC,C,0.043896
476,US-CRC,C,0.036295
477,US-CRC,C,0.001403
478,US-CRC,C,0.006673
479,US-CRC,C,0
480,US-CRC,C,0.009665
481,US-CRC,C,0.012686
482,US-CRC,C,0.024381
483,US-CRC,C,0.002982
484,US-CRC,C,0.000573
485,US-CRC,C,0.001658
486,US-CRC,C,0.009863
487,US-CRC,C,0.003201
488,US-CRC,C,0.007086
489,US-CRC,C,0.004473
490,US-CRC,C,0.030485
491,US-CRC,C,0.00168
492,US-CRC,C,0.004054
493,US-CRC,C,0.008773
494,US-CRC,C,0.003355
495,US-CRC,C,0.011805
496,US-CRC,C,0.003549
497,US-CRC,C,0.004887
498,US-CRC,C,0.000212
499,US-CRC,C,0.003246
500,US-CRC,C,0.01298
501,US-CRC,C,0.001283
502,US-CRC,C,0
503,US-CRC,C,0
504,US-CRC,C,0.012717
505,US-CRC,C,0
506,US-CRC,C,0.008607
507,US-CRC,C,0.042331
508,US-CRC,C,0.012849
509,US-CRC,C,0.003604
510,US-CRC,C,0.045354
511,US-CRC,C,0.01889
512,US-CRC,C,0
513,US-CRC,C,0
514,US-CRC,C,0.00419
515,US-CRC,C,0.009869
516,US-CRC,C,0.001792
517,US-CRC,C,0.016157
518,US-CRC,C,0
519,US-CRC,C,0.00856
520,US-CRC,C,0.012558
521,US-CRC,C,0.002002
522,US-CRC,C,0.001743
523,US-C,C,0.089592
524,US-C,C,0.032196
525,US-C,C,0
526,US-C,C,0.351677
527,US-C,C,0.009097
528,US-C,C,0.017542
529,US-C,C,0.014736
530,US-C,C,0.032635
531,US-C,C,0.029261
532,US-C,C,0.169947
533,US-C,C,0.094526
534,US-C,C,0.009958
535,US-C,C,0.00603
536,US-C,C,0.040033
