Items	Items_URL	Class	Class_ID	Items_ID	Class_URL
洁面	https://item.jd.com/11545392603.html	面部护肤	1316,1381,1389	11545392603	https://list.jd.com/list.html?cat=1316,1381,1389
洁面	https://item.jd.com/758086.html	面部护肤	1316,1381,1389	758086	https://list.jd.com/list.html?cat=1316,1381,1389
洁面	https://item.jd.com/234366.html	面部护肤	1316,1381,1389	234366	https://list.jd.com/list.html?cat=1316,1381,1389
洁面	https://item.jd.com/4796399.html	面部护肤	1316,1381,1389	4796399	https://list.jd.com/list.html?cat=1316,1381,1389
洁面	https://item.jd.com/4477655.html	面部护肤	1316,1381,1389	4477655	https://list.jd.com/list.html?cat=1316,1381,1389
洁面	https://item.jd.com/188550.html	面部护肤	1316,1381,1389	188550	https://list.jd.com/list.html?cat=1316,1381,1389
洁面	https://item.jd.com/840001.html	面部护肤	1316,1381,1389	840001	https://list.jd.com/list.html?cat=1316,1381,1389
洁面	https://item.jd.com/2223520.html	面部护肤	1316,1381,1389	2223520	https://list.jd.com/list.html?cat=1316,1381,1389
洁面	https://item.jd.com/5378374.html	面部护肤	1316,1381,1389	5378374	https://list.jd.com/list.html?cat=1316,1381,1389
洁面	https://item.jd.com/4796431.html	面部护肤	1316,1381,1389	4796431	https://list.jd.com/list.html?cat=1316,1381,1389
洁面	https://item.jd.com/6841113.html	面部护肤	1316,1381,1389	6841113	https://list.jd.com/list.html?cat=1316,1381,1389
洁面	https://item.jd.com/4169336.html	面部护肤	1316,1381,1389	4169336	https://list.jd.com/list.html?cat=1316,1381,1389
洁面	https://item.jd.com/598706.html	面部护肤	1316,1381,1389	598706	https://list.jd.com/list.html?cat=1316,1381,1389
洁面	https://item.jd.com/11318325459.html	面部护肤	1316,1381,1389	11318325459	https://list.jd.com/list.html?cat=1316,1381,1389
洁面	https://item.jd.com/762158.html	面部护肤	1316,1381,1389	762158	https://list.jd.com/list.html?cat=1316,1381,1389
洁面	https://item.jd.com/32969107688.html	面部护肤	1316,1381,1389	32969107688	https://list.jd.com/list.html?cat=1316,1381,1389
洁面	https://item.jd.com/19488770202.html	面部护肤	1316,1381,1389	19488770202	https://list.jd.com/list.html?cat=1316,1381,1389
洁面	https://item.jd.com/5277510.html	面部护肤	1316,1381,1389	5277510	https://list.jd.com/list.html?cat=1316,1381,1389
洁面	https://item.jd.com/7189886.html	面部护肤	1316,1381,1389	7189886	https://list.jd.com/list.html?cat=1316,1381,1389
洁面	https://item.jd.com/1750038.html	面部护肤	1316,1381,1389	1750038	https://list.jd.com/list.html?cat=1316,1381,1389
洁面	https://item.jd.com/1482527.html	面部护肤	1316,1381,1389	1482527	https://list.jd.com/list.html?cat=1316,1381,1389
洁面	https://item.jd.com/6603114.html	面部护肤	1316,1381,1389	6603114	https://list.jd.com/list.html?cat=1316,1381,1389
洁面	https://item.jd.com/4955585.html	面部护肤	1316,1381,1389	4955585	https://list.jd.com/list.html?cat=1316,1381,1389
洁面	https://item.jd.com/3823519.html	面部护肤	1316,1381,1389	3823519	https://list.jd.com/list.html?cat=1316,1381,1389
